# ABR corpus record ledger — ANALYST-published derived artifact.
#
# Derived from the licensed .abr fixture corpus described in
# thoughts/docs/paged/plugin-image/abr-brush-format-spec.md §13.3, by an
# ANALYST-role session under the clean-room two-role protocol (plugin-
# image/CLAUDE.md §3.1). Contains only FACTS ABOUT BEHAVIOUR — counts, key
# names, OSTypes, unit codes, dimensions and cryptographic digests. It
# contains no corpus bytes, no third-party artwork, and nothing derived from
# the reference implementation mounted at references/ag-psd. IMPLEMENTER-
# LEGAL: consuming this file is not reading references/.
#
# One row per sampled-tip record, in file order. `sha256` is the SHA-256
# of the DECODED coverage mask (row-major, one byte per pixel, exactly
# w*h bytes, NOT inverted). `png_oracle` names the independently
# published transparent PNG whose ALPHA CHANNEL hashes to the same
# value — the artefact that settles polarity (spec §2.5).
#
# A digest is a one-way function of the artwork: it pins the decode
# exactly while carrying none of the picture. That is what makes this
# file publishable where the corpus itself is gitignored.
#
# Regenerate: ANALYST role only, with references/abr-fixtures/ mounted.
#
file	index	id	declared_len	pad_len	array_count	written_planes	top	left	bottom	right	w	h	depth	compression	decoded_bytes	sha256	png_oracle
kma-hogenburg-urban-cartography-brushes.abr	56	fdf6a034-0166-974e-86c7-ee9c3d8dc9bf	2248	0	56	1	3353	3012	3418	3054	42	65	8	1	2730	d38283d26eba7fa691e1cf02f6c8eafc354e2254e0ea75404cbc9de4fb57f184	
kma-hogenburg-urban-cartography-brushes.abr	57	92ef7dfd-a491-6e40-ae53-2d2133bf0eec	2108	0	56	1	3288	3013	3336	3067	54	48	8	1	2592	6c4f26399b66b43d53931d7351889ceb3cb8fd224e148a47ab3c8a8e454ea008	
kma-hogenburg-urban-cartography-brushes.abr	58	81c2b984-9937-a544-a30d-cd874cbd0d6f	2020	0	56	1	3298	3050	3363	3088	38	65	8	1	2470	b866c613c91e3698ca092d493d8c993cfe4dabcccd98cb8033f024cd29579413	
kma-hogenburg-urban-cartography-brushes.abr	59	3890279e-d4eb-7d45-a440-118cffd6b356	2261	3	56	1	3456	3027	3512	3079	52	56	8	1	2912	2b3ed54076cbcdfb692c5ec9eef23462460ce628424cddffb14833f792b176e6	
kma-hogenburg-urban-cartography-brushes.abr	60	18b646a1-6672-8a4d-a72a-7e47ccc83387	2571	1	56	1	3681	3023	3763	3076	53	82	8	1	4346	8adbc7d18a278df280c835c09416fee44e0e36aa1900fff05bbf0c9a8c92c880	
kma-hogenburg-urban-cartography-brushes.abr	61	bf5f3a9e-71bb-fd41-a9c9-e0c666a22e79	1994	2	56	1	3643	3015	3704	3063	48	61	8	1	2928	14bbcabbc15a8ca62844ff0166ff0b755b6512afeaf5d10bffb4fab1fa43e6ce	
kma-hogenburg-urban-cartography-brushes.abr	62	7236b9b9-7fde-8740-9f6d-3423d83a5d66	2075	1	56	1	3738	3051	3802	3093	42	64	8	1	2688	49619f15f014d19eb98e07e52bf868f7c15bac9bdcb54eb82f2948379ad84ef1	
kma-hogenburg-urban-cartography-brushes.abr	63	357c0b54-ba9f-914f-9099-d0a3bbfa4bba	1991	1	56	1	3344	2925	3405	2968	43	61	8	1	2623	c8a095aa38d6a987b7893b8ffe326d1d65686bce36fbef7a3a6a4ddbc0f6d370	
kma-hogenburg-urban-cartography-brushes.abr	64	ea43ec0c-2c80-ba42-a3b4-44cac8fe5dab	1386	2	56	1	3385	2860	3419	2909	49	34	8	1	1666	c4f38fd0ac87a736b9b5b6fd22c3ef61a4de14ffe4d62f0df74e2801deca352c	
kma-hogenburg-urban-cartography-brushes.abr	65	cd16a421-b3ab-694b-958a-4d6d80f0cb95	2887	1	56	1	3324	2866	3387	2934	68	63	8	1	4284	ce95d1c4eeae2e87cc96e8144f0a614ea81016e90159cc94ffb1139471a0dfa0	
